item_code,item_name_clean,division,group,class,division_name,weight_pp1000
CP0117,01.1.7 Vegetables including potatoes and tubers,01,01.1,01.1.7,Food & Non-Alcoholic Beverages,14.5
CP0122,"01.2.2 Mineral waters, soft drinks and juices",01,01.2,01.2.2,Food & Non-Alcoholic Beverages,8.6
CP0111,01.1.1 Bread and cereals,01,01.1,01.1.1,Food & Non-Alcoholic Beverages,15.2
CP0112,01.1.2 Meat,01,01.1,01.1.2,Food & Non-Alcoholic Beverages,22.1
CP0113,01.1.3 Fish,01,01.1,01.1.3,Food & Non-Alcoholic Beverages,5.8
CP0114,"01.1.4 Milk, cheese and eggs",01,01.1,01.1.4,Food & Non-Alcoholic Beverages,13.9
CP0115,01.1.5 Oils and fats,01,01.1,01.1.5,Food & Non-Alcoholic Beverages,2.1
CP0116,01.1.6 Fruit,01,01.1,01.1.6,Food & Non-Alcoholic Beverages,11.2
CP0121,"01.2.1 Coffee, tea and cocoa",01,01.2,01.2.1,Food & Non-Alcoholic Beverages,3.9
CP0118,"01.1.8 Sugar, jam, syrups, chocolate and confectionery",01,01.1,01.1.8,Food & Non-Alcoholic Beverages,9.3
CP0119,01.1.9 Food products (nec),01,01.1,01.1.9,Food & Non-Alcoholic Beverages,5.4
CP0213,02.1.3 Beer,02,02.1,02.1.3,Alcoholic Beverages & Tobacco,10.1
CP0212,02.1.2 Wine,02,02.1,02.1.2,Alcoholic Beverages & Tobacco,12.4
CP0211,02.1.1 Spirits,02,02.1,02.1.1,Alcoholic Beverages & Tobacco,6.2
CP0312,03.1.2 Garments,03,03.1,03.1.2,Clothing & Footwear,18.5
CP0313,03.1.3 Other clothing and clothing accessories,03,03.1,03.1.3,Clothing & Footwear,7.2
CP0314,"03.1.4 Cleaning, repair and hire of clothing",03,03.1,03.1.4,Clothing & Footwear,0.9
CP0454,04.5.4 Solid fuels,04,04.5,04.5.4,"Housing, Water, Electricity, Gas",0.8
CP0453,04.5.3 Liquid fuels,04,04.5,04.5.3,"Housing, Water, Electricity, Gas",2.1
CP0441,04.4.1 Water supply,04,04.4,04.4.1,"Housing, Water, Electricity, Gas",8.2
CP0452,04.5.2 Gas,04,04.5,04.5.2,"Housing, Water, Electricity, Gas",19.7
CP0443,04.4.3 Sewerage collection,04,04.4,04.4.3,"Housing, Water, Electricity, Gas",2.4
CP0431,04.3.1 Materials for maintenance and repair of the dwelling,04,04.3,04.3.1,"Housing, Water, Electricity, Gas",2.1
CP0432,04.3.2 Services for maintenance and repair of the dwelling,04,04.3,04.3.2,"Housing, Water, Electricity, Gas",7.8
CP0451,04.5.1 Electricity,04,04.5,04.5.1,"Housing, Water, Electricity, Gas",28.9
CP0561,05.6.1 Non-durable household goods,05,05.6,05.6.1,"Furnishings, Household Equipment",7.4
CP0562,05.6.2 Domestic services and household services,05,05.6,05.6.2,"Furnishings, Household Equipment",9.1
CP0512,05.1.2 Carpets and other floor coverings,05,05.1,05.1.2,"Furnishings, Household Equipment",2.3
CP0531_0532,05.3.1/2 Major appliances and small electric goods,05,05.31,05.31,"Furnishings, Household Equipment",10.5
CP0533,05.3.3 Repair of household appliances,05,05.3,05.3.3,"Furnishings, Household Equipment",1.2
CP0511,05.1.1 Furniture and furnishings,05,05.1,05.1.1,"Furnishings, Household Equipment",18.2
CP0612_0613,06.1.2/3 Other medical and therapeutic equipment,06,06.12,06.12,Health,4.8
CP0611,06.1.1 Pharmaceutical products,06,06.1,06.1.1,Health,11.2
CP0622,06.2.2 Dental services,06,06.2,06.2.2,Health,0.0
CP0621_0623,06.2.1/3 Medical services and paramedical services,06,06.21,06.21,Health,12.5
CP0712_0713,07.1.2/3 Motorcycles and bicycles,07,07.12,07.12,Transport,0.0
CP0734,07.3.4 Passenger transport by sea and inland waterway,07,07.3,07.3.4,Transport,0.0
CP0733,07.3.3 Passenger transport by air,07,07.3,07.3.3,Transport,0.0
CP0711N2,07.1.1b Second Hand Cars,07,07.1,07.1.1,Transport,35.1
CP0731,07.3.1 Passenger transport by railway,07,07.3,07.3.1,Transport,12.4
CP0732_0736,07.3.2/6 Passenger transport by road and other services,07,07.32,07.32,Transport,22.8
CP0722,07.2.2 Fuels and lubricants,07,07.2,07.2.2,Transport,18.7
CP0721,07.2.1 Spare parts and accessories,07,07.2,07.2.1,Transport,31.2
CP0711N1,07.1.1 New Cars,07,07.1,07.1.1,Transport,28.4
CP0724,07.2.4 Other services,07,07.2,07.2.4,Transport,7.3
CP0723,07.2.3 Maintenance and repairs,07,07.2,07.2.3,Transport,12.9
CP082_083,08.2/3 Telephone and telefax equipment,08,08.2,08.2,Communication,7.8
CP0931,"09.3.1 Games, toys and hobbies",09,09.3,09.3.1,Recreation & Culture,0.0
CP0932,09.3.2 Equipment for sport and open-air recreation,09,09.3,09.3.2,Recreation & Culture,0.0
CP0933,"09.3.3 Gardens, plants and flowers",09,09.3,09.3.3,Recreation & Culture,6.2
CP0934_0935,"09.3.4/5 Pets, related products and services",09,09.34,09.34,Recreation & Culture,0.0
CP0915,"09.1.5 Repair of audio-visual equipment, related products",09,09.1,09.1.5,Recreation & Culture,0.0
CP0914,09.1.4 Recording media,09,09.1,09.1.4,Recreation & Culture,0.0
CP0913,09.1.3 Data processing equipment,09,09.1,09.1.3,Recreation & Culture,0.0
CP0941,09.4.1 Recreational and sporting services,09,09.4,09.4.1,Recreation & Culture,0.0
CP0911,09.1.1 Reception and reproduction of sound and pictures,09,09.1,09.1.1,Recreation & Culture,12.5
CP0912,"09.1.2 Photographic, cinematographic and optical equipment",09,09.1,09.1.2,Recreation & Culture,2.3
CP0951,09.5.1 Books,09,09.5,09.5.1,Recreation & Culture,3.9
CP0952,09.5.2 Newspapers and periodicals,09,09.5,09.5.2,Recreation & Culture,0.0
CP0953_0954,"09.5.3/4 Miscellaneous printed matter, stationery and drawing materials",09,09.53,09.53,Recreation & Culture,0.0
CP0942,09.4.2 Cultural services,09,09.4,09.4.2,Recreation & Culture,14.3
CP1111,11.1.1 Restaurants and cafes,11,11.1,11.1.1,Restaurants & Hotels,36.2
CP1112,11.1.2 Canteens,11,11.1,11.1.2,Restaurants & Hotels,15.8
CP1254,12.5.4 Transport insurance,12,12.5,12.5.4,Miscellaneous Goods & Services,0.0
CP1253,12.5.3 Health insurance,12,12.5,12.5.3,Miscellaneous Goods & Services,0.0
CP1252,12.5.2 House contents insurance,12,12.5,12.5.2,Miscellaneous Goods & Services,4.1
CP1211,12.1.1 Hairdressing and personal grooming establishments,12,12.1,12.1.1,Miscellaneous Goods & Services,11.2
CP1212_1213,12.1.2/3 Appliances and products for personal care,12,12.12,12.12,Miscellaneous Goods & Services,0.0
CP1231,"12.3.1 Jewellery, clocks and watches",12,12.3,12.3.1,Miscellaneous Goods & Services,7.9
CP1232,12.3.2 Other personal effects,12,12.3,12.3.2,Miscellaneous Goods & Services,0.0
CP095,"09.5 Books, newspapers and stationery",99,99.9,99.9.9,Other,0.0
CP125,12.5 Insurance,99,99.9,99.9.9,Other,0.0
CP124,12.4 Social protection,99,99.9,99.9.9,Other,0.0
CP123,12.3 Personal effects (nec),99,99.9,99.9.9,Other,0.0
CP12,12 Miscellaneous goods and services,99,99.9,99.9.9,Other,0.0
CP121,12.1 Personal care,99,99.9,99.9.9,Other,0.0
CP093,"09.3 Other recreational items, gardens and pets",99,99.9,99.9.9,Other,0.0
CP112,11.2 Accommodation services,99,99.9,99.9.9,Other,0.0
CP11,11 Restaurants and hotels,99,99.9,99.9.9,Other,0.0
CP10,10 Education,99,99.9,99.9.9,Other,0.0
CP096,09.6 Package holidays,99,99.9,99.9.9,Other,0.0
CP094,09.4 Recreational and cultural services,99,99.9,99.9.9,Other,0.0
CP092,09.2 Other major durables for recreation and culture,99,99.9,99.9.9,Other,0.0
CP111,11.1 Catering services,99,99.9,99.9.9,Other,0.0
CP00,Overall Index,99,99.9,99.9.9,Other,0.0
CP09,09 Recreation and culture,99,99.9,99.9.9,Other,0.0
CP045,"04.5 Electricity, gas and other fuels",99,99.9,99.9.9,Other,0.0
CP044,04.4 Water supply and miscellaneous services relating to the dwelling,99,99.9,99.9.9,Other,0.0
CP043,04.3 Regular maintenance and repair of the dwelling,99,99.9,99.9.9,Other,0.0
CP042,04.2 Owner Occupiers Housing Costs,99,99.9,99.9.9,Other,0.0
CP041,04.1 Actual rentals for housing,99,99.9,99.9.9,Other,0.0
CP04,"04 Housing, water, electricity, gas and other fuels",99,99.9,99.9.9,Other,0.0
CP032,03.2 Footwear including repairs,99,99.9,99.9.9,Other,0.0
CP031,03.1 Clothing,99,99.9,99.9.9,Other,0.0
CP03,03 Clothing and footwear,99,99.9,99.9.9,Other,0.0
CP022,02.2 Tobacco,99,99.9,99.9.9,Other,0.0
