
W1 -  CPI Weights: 2008 to 2026																															
 parts per 1000																															
2015=100																															

			2008	2009	2010	2011	2012	2013	2014	2015	2016	"2017 
Jan"	"2017 
Feb-Dec"	"2018
Jan"	"2018 
Feb-Dec"	"2019
Jan"	"2019 
Feb-Dec"	"2020
Jan"	"2020
Feb-Dec"	"2021
Jan"	"2021
Feb-Dec"	"2022
Jan"	"2022
Feb-Dec"	"2023
Jan"	"2023
Feb-Dec"	"20241
Jan"	"20241
Feb-Dec"	"20251
Jan"	"20251
Feb-Dec"	"20261
Jan"	"20261
Feb-Dec"
	CHZQ	 CPI (overall index)	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000.0000	1000.0000	1000.0000	1000.0000	1000.0000	1000.0000
	CHZR	 01    Food and non-alcoholic beverages	109	118	108	118	112	106	112	110	103	102	103	101	101	100	100	99	99	114	114	115	116	117	119	112.9084	113.1464	111.4879	112.5699	109.1584	109.6059
	CHZS	 02    Alcoholic beverages and tobacco	42	44	40	42	42	44	45	43	42	41	43	41	42	40	40	39	40	44	45	48	50	42	42	38.0861	39.1496	37.8451	38.5787	36.5066	37.1650
	CHZT	 03    Clothing and footwear	63	57	56	62	65	68	72	70	71	75	72	72	70	69	67	64	61	78	74	62	60	60	58	60.6307	58.6073	62.0469	60.0628	58.3862	56.7210
	CHZU	 04    Housing, water, electricity, gas and other fuels	115	126	129	129	144	137	129	128	120	117	118	133	134	132	130	129	131	141	141	137	138	138	141	128.2194	131.3395	126.6500	127.8483	130.0082	131.2512
	CHZV	 05    Furniture, household equipment and maintenance	67	66	64	61	61	59	60	59	59	63	61	63	61	65	65	61	60	63	62	77	76	69	68	64.0830	62.4738	59.8053	58.4897	54.7622	53.8332
	CHZW	 06    Health	22	22	22	24	24	25	24	25	28	25	26	24	25	28	28	27	27	24	25	22	21	23	24	25.7135	26.2110	28.1502	28.3889	25.6050	26.1791
	CHZX	 07    Transport	152	151	164	159	162	148	152	149	153	160	160	155	156	153	153	148	147	136	136	140	139	142	137	138.4858	135.4561	132.8093	132.2960	142.7975	140.9674
	CHZY	 08    Communication	23	23	25	26	27	31	32	31	32	25	25	24	24	24	24	21	21	24	25	25	25	22	23	22.9093	23.0874	24.3987	24.4272	24.1514	24.3655
	CHZZ	 09    Recreation and culture	152	145	150	147	134	141	144	147	148	149	148	149	150	154	155	168	168	145	146	134	134	138	138	141.8660	142.6238	148.1226	148.7426	151.0727	152.1489
